                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85069,                 1.8671,                  1.178,                  0.471,                      1,                0.90071,                 0.3712,                 1.1683,                 6.6349,                 1.4492,                0.00046,                0.00046,                0.00046
                      2,                0.83506,                 2.1597,                 1.1395,                  0.471,                      1,                0.90071,                 0.3712,                 5.5043,                    inf,                 13.773,             0.00093069,             0.00093069,             0.00093069
                      3,                0.99814,                 2.4109,                 1.3017,                0.10894,                0.33333,                0.28042,                0.14229,                 1.4539,                 11.224,                 1.7488,              0.0013919,              0.0013919,              0.0013919
                      4,                 1.1184,                 1.5947,                 1.4485,                      1,                0.16667,                0.84843,                0.33639,                 1.7259,                 230.76,                 4.9903,              0.0018436,              0.0018436,              0.0018436
                      5,                 1.0981,                 5.1378,                 1.4195,                 0.2747,                0.83333,                0.30313,                0.08988,                 1.1045,                  9.112,                 1.5661,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3955,                  4.872,                 1.7061,                0.01598,                0.83333,                0.01573,                0.00353,                 2.3587,                 287.39,                 3.9558,               0.001901,               0.001901,               0.001901
                      7,                 1.9657,                 2.7295,                 2.0977,                0.00862,                0.83333,                0.02274,                0.01293,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6805,                 2.3519,                 1.8499,                0.00862,                0.83333,                0.02274,                0.01293,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5522,                 1.9264,                 1.6826,                0.01425,                      1,                0.02753,                0.01445,                 2.0792,                 495.08,                 9.8602,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.5973,                 2.3019,                 1.6971,                0.39853,                    0.5,                0.60878,                0.42182,                   1.09,                 4.1778,                 1.7697,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.443,                 1.9167,                  1.643,                      1,                    0.5,                0.97214,                 0.2922,                 1.1229,                 19.391,                 2.5103,               0.001802,               0.001802,               0.001802
                     12,                 1.2644,                 1.5705,                 1.5292,                      1,                    0.5,                0.97214,                 0.2922,                      0,                    794,                      0,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2262,                  1.358,                 1.5426,                0.91569,                0.66667,                  0.863,                0.61474,                0.96366,                 2.0673,                 1.3984,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.056,                  1.163,                 1.3449,                0.00383,                    0.5,                0.00263,                0.00046,                 3.9211,                 814.89,                  34.08,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1168,                 1.0251,                 1.3764,                0.01732,                0.16667,                0.00762,                0.00265,                 3.4431,                 6.8507,                 4.1315,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0773,                 1.0467,                 1.4641,                0.07367,                0.16667,                0.05153,                0.02439,                 2.7446,                 2.8244,                 3.2232,               0.001703,               0.001703,               0.001703
                     17,                 1.0574,                0.97291,                 1.3771,                0.95017,                      1,                  0.995,                0.78015,                 1.0511,                  3.009,                 1.3459,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0248,                0.89976,                 1.3271,                0.95452,                      1,                  0.995,                0.81235,                0.81083,                 3.2133,                 1.1581,              0.0016634,              0.0016634,              0.0016634
                     19,                0.96557,                0.89672,                 1.2827,                 0.9903,                      1,                  0.995,                0.93707,                0.60185,                0.84592,                0.88349,              0.0016436,              0.0016436,              0.0016436
                     20,                0.91579,                0.80297,                 1.2354,                0.99199,                      1,                  0.995,                0.89871,                0.58812,                0.56212,                0.87139,              0.0016238,              0.0016238,              0.0016238
                     21,                0.95374,                0.83696,                 1.2829,                0.98243,                      1,                  0.995,                0.84179,                0.70463,                 0.9183,                0.90665,               0.001604,               0.001604,               0.001604
                     22,                0.92823,                0.76942,                 1.2629,                0.99221,                      1,                  0.995,                0.84204,                0.57323,                0.51513,                0.86115,              0.0015842,              0.0015842,              0.0015842
                     23,                0.95598,                0.82234,                 1.2718,                0.99237,                      1,                  0.995,                0.90257,                0.58607,                0.57375,                 0.8748,              0.0015644,              0.0015644,              0.0015644
                     24,                0.91893,                0.74595,                 1.2504,                0.99199,                      1,                  0.995,                0.90416,                 0.5748,                0.52804,                0.85544,              0.0015446,              0.0015446,              0.0015446
                     25,                0.94302,                0.79041,                 1.2909,                0.98644,                      1,                  0.995,                0.92623,                0.49373,                0.60467,                0.84421,              0.0015248,              0.0015248,              0.0015248
                     26,                0.96216,                0.76027,                 1.2615,                0.99081,                      1,                  0.995,                0.88523,                0.49709,                0.51603,                0.84744,               0.001505,               0.001505,               0.001505
                     27,                0.93621,                0.70966,                 1.2657,                0.99235,                      1,                  0.995,                 0.9778,                0.44686,                0.46555,                0.80043,              0.0014852,              0.0014852,              0.0014852
                     28,                 0.8466,                0.68632,                 1.1938,                0.99241,                      1,                  0.995,                0.90149,                0.47725,                 0.4847,                0.82328,              0.0014654,              0.0014654,              0.0014654
                     29,                0.90076,                0.71771,                 1.2255,                0.99253,                      1,                  0.995,                0.85914,                0.52523,                0.48938,                0.85424,              0.0014456,              0.0014456,              0.0014456
                     30,                0.78101,                0.81625,                 1.1541,                0.99247,                      1,                  0.995,                0.91063,                0.52354,                 0.4603,                0.83353,              0.0014258,              0.0014258,              0.0014258
                     31,                0.81275,                0.66024,                 1.1797,                0.99216,                      1,                  0.995,                0.89632,                0.54303,                 0.5173,                0.83941,               0.001406,               0.001406,               0.001406
                     32,                0.81361,                0.61544,                 1.1462,                0.99153,                      1,                  0.995,                0.91332,                0.50991,                0.48149,                0.83308,              0.0013862,              0.0013862,              0.0013862
                     33,                0.79726,                0.61607,                 1.1836,                0.99249,                      1,                  0.995,                0.87632,                0.60565,                0.52836,                0.93935,              0.0013664,              0.0013664,              0.0013664
                     34,                0.82086,                0.60597,                 1.1778,                0.99241,                      1,                  0.995,                0.87355,                0.72975,                0.55834,                0.92929,              0.0013466,              0.0013466,              0.0013466
                     35,                 0.8532,                0.58371,                 1.1906,                0.99177,                      1,                  0.995,                0.86965,                0.65624,                0.44388,                0.89515,              0.0013268,              0.0013268,              0.0013268
                     36,                0.76402,                0.57403,                 1.1565,                0.99257,                      1,                  0.995,                 0.8995,                0.52408,                0.45451,                0.84639,               0.001307,               0.001307,               0.001307
                     37,                0.82777,                0.61247,                 1.1859,                0.98997,                      1,                  0.995,                0.87309,                0.61239,                0.40286,                0.89387,              0.0012872,              0.0012872,              0.0012872
                     38,                0.80838,                0.59531,                 1.1611,                0.99199,                      1,                  0.995,                0.90345,                0.46795,                0.42223,                0.80794,              0.0012674,              0.0012674,              0.0012674
                     39,                0.83726,                0.61096,                 1.1519,                0.99169,                      1,                  0.995,                0.90057,                0.56727,                0.47461,                0.87235,              0.0012476,              0.0012476,              0.0012476
                     40,                0.73894,                0.56217,                 1.1159,                0.99173,                      1,                  0.995,                0.90932,                0.50876,                0.52218,                 0.8254,              0.0012278,              0.0012278,              0.0012278
                     41,                0.83596,                0.59188,                 1.1799,                0.99217,                      1,                  0.995,                0.90249,                0.51429,                0.58535,                0.84189,               0.001208,               0.001208,               0.001208
                     42,                0.73627,                0.56838,                 1.1267,                0.99238,                      1,                  0.995,                0.93931,                0.47367,                0.41819,                0.80475,              0.0011882,              0.0011882,              0.0011882
                     43,                0.68882,                0.51527,                 1.0466,                 0.9922,                      1,                  0.995,                 0.8955,                0.43495,                0.37938,                0.77468,              0.0011684,              0.0011684,              0.0011684
